rank,strategy,seed,loaded_count,loaded_volume_m3,loaded_weight,volume_utilization,weight_utilization,x_cg,cg_offset,cg_margin,min_support_margin,min_load_bearing_margin,objective_tuple,weighted_score
1,category,5,138,35.728,11130,0.7952279202279202,0.9275,356.2646001796945,0.005188055305979825,116.26460017969453,0.010000000000000009,0.0,"(138, 35728000.0, 11130, -0.005188055305979825, 116.26460017969453, 0.010000000000000009, 0.0)",0.6814399530413682
2,category,4096,137,35.608,11105,0.79255698005698,0.9254166666666667,358.80909500225124,0.0016540347190954997,118.80909500225124,0.010000000000000009,0.0,"(137, 35608000.0, 11105, -0.0016540347190954997, 118.80909500225124, 0.010000000000000009, 0.0)",0.6802156674151553
3,category,4,135,35.368,11055,0.7872150997150997,0.92125,358.97557666214385,0.0014228101914668734,118.97557666214385,0.010000000000000009,0.0,"(135, 35368000.0, 11055, -0.0014228101914668734, 118.97557666214385, 0.010000000000000009, 0.0)",0.6763997328335014
4,category,1,133,33.688,10985,0.7498219373219374,0.9154166666666667,352.90851160673645,0.009849289435088258,112.90851160673645,0.010000000000000009,0.0,"(133, 33688000.0, 10985, -0.009849289435088258, 112.90851160673645, 0.010000000000000009, 0.0)",0.6558458472411876
5,category,2,132,36.168,10965,0.8050213675213675,0.91375,365.3488372093023,0.007428940568475421,114.6511627906977,0.010000000000000009,0.0,"(132, 36168000.0, 10965, -0.007428940568475421, 114.6511627906977, 0.010000000000000009, 0.0)",0.6805863272709204
6,category,10,132,33.208,10955,0.7391381766381766,0.9129166666666667,358.9936102236422,0.0013977635782747517,118.99361022364218,0.010000000000000009,0.0,"(132, 33208000.0, 10955, -0.0013977635782747517, 118.99361022364218, 0.010000000000000009, 0.0)",0.6518534601048578
7,category,88,130,35.968,10900,0.8005698005698005,0.9083333333333333,370.1834862385321,0.014143730886850154,109.81651376146789,0.010000000000000009,0.0,"(130, 35968000.0, 10900, -0.014143730886850154, 109.81651376146789, 0.010000000000000009, 0.0)",0.6753443307457069
8,category,2026,130,35.208,10905,0.7836538461538461,0.90875,383.13617606602475,0.03213357786947881,96.86382393397525,0.010000000000000009,0.0,"(130, 35208000.0, 10905, -0.03213357786947881, 96.86382393397525, 0.010000000000000009, 0.0)",0.664280015195335
9,category,100,128,34.288,10830,0.7631766381766382,0.9025,374.3374884579871,0.019913178413870962,105.66251154201291,0.010000000000000009,0.0,"(128, 34288000.0, 10830, -0.019913178413870962, 105.66251154201291, 0.010000000000000009, 0.0)",0.6553218514967128
10,category,0,126,35.568,10770,0.7916666666666666,0.8975,383.58402971216344,0.032755596822449225,96.41597028783656,0.010000000000000009,0.0,"(126, 35568000.0, 10770, -0.032755596822449225, 96.41597028783656, 0.010000000000000009, 0.0)",0.6638238806355101
11,category,3,126,35.568,10770,0.7916666666666666,0.8975,383.58402971216344,0.032755596822449225,96.41597028783656,0.010000000000000009,0.0,"(126, 35568000.0, 10770, -0.032755596822449225, 96.41597028783656, 0.010000000000000009, 0.0)",0.6638238806355101
12,category,6,126,35.568,10770,0.7916666666666666,0.8975,383.58402971216344,0.032755596822449225,96.41597028783656,0.010000000000000009,0.0,"(126, 35568000.0, 10770, -0.032755596822449225, 96.41597028783656, 0.010000000000000009, 0.0)",0.6638238806355101
13,category,9,126,35.568,10770,0.7916666666666666,0.8975,383.58402971216344,0.032755596822449225,96.41597028783656,0.010000000000000009,0.0,"(126, 35568000.0, 10770, -0.032755596822449225, 96.41597028783656, 0.010000000000000009, 0.0)",0.6638238806355101
14,category,42,126,35.568,10770,0.7916666666666666,0.8975,383.58402971216344,0.032755596822449225,96.41597028783656,0.010000000000000009,0.0,"(126, 35568000.0, 10770, -0.032755596822449225, 96.41597028783656, 0.010000000000000009, 0.0)",0.6638238806355101
15,category,66,126,35.568,10770,0.7916666666666666,0.8975,383.58402971216344,0.032755596822449225,96.41597028783656,0.010000000000000009,0.0,"(126, 35568000.0, 10770, -0.032755596822449225, 96.41597028783656, 0.010000000000000009, 0.0)",0.6638238806355101
16,category,7,126,34.088,10765,0.7587250712250713,0.8970833333333333,371.4189503019043,0.01585965319708933,108.58104969809568,0.010000000000000009,0.0,"(126, 34088000.0, 10765, -0.01585965319708933, 108.58104969809568, 0.010000000000000009, 0.0)",0.6522335180785308
17,category,20,126,33.648,10790,0.7489316239316239,0.8991666666666667,371.1955514365153,0.015549376995160142,108.8044485634847,0.010000000000000009,0.0,"(126, 33648000.0, 10790, -0.015549376995160142, 108.8044485634847, 0.010000000000000009, 0.0)",0.6486176887035321
18,category,8,124,35.488,10660,0.7898860398860399,0.8883333333333333,379.8968105065666,0.02763445903689809,100.10318949343338,0.010000000000000009,0.0,"(124, 35488000.0, 10660, -0.02763445903689809, 100.10318949343338, 0.010000000000000009, 0.0)",0.6608384928080049
19,density,0,110,19.408,10250,0.431980056980057,0.8541666666666666,363.64878048780486,0.005067750677506745,116.35121951219514,0.010000000000000009,0.0,"(110, 19408000.0, 10250, -0.005067750677506745, 116.35121951219514, 0.010000000000000009, 0.0)",0.4923358088388576
20,weight,0,108,23.488,10260,0.5227920227920227,0.855,376.1598440545809,0.022444227853584586,103.8401559454191,0.010000000000000009,0.0,"(108, 23488000.0, 10260, -0.022444227853584586, 103.8401559454191, 0.010000000000000009, 0.0)",0.5300175646856933
